code,name,city,country_id,location
EAP,EuroAirport Basel-Mulhouse-Freiburg Airport,Basel,CH,POINT (7.529167 47.59)
LYG,Lianyungang Airport,Niushan,CN,POINT (118.87475668663635 34.57096)
ACI,Alderney Airport,Beaumont-Hague,GB,POINT (-2.214498597174802 49.70694185)
APW,Faleolo Airport,Satapuala,WS,POINT (-171.999494 -13.832271)
LYI,Linyi Airport,Linyi,CN,POINT (118.41027073428957 35.05260055)
MDE,Jose Maria Cordova International Airport,Rionegro,CO,POINT (-75.42394572094523 6.16640765)
JTN,Antônio Ribeiro Nogueira Jr. State Airport,Itanhaém,BR,POINT (-46.785556 -24.164722)
LMV,Madivaru Airport,Madivaru,MV,POINT (73.3703800969 5.45798469788)
LZC,Lazaro Cardenas Airport,La Orilla,MX,POINT (-102.21966265294796 18.00309765)
AQP,Rodriguez Ballon International Airport,Arequipa,PE,POINT (-71.56895878830176 -16.3423105)
TYC,Taiyuan Yaocheng Airport,Mengfeng,CN,POINT (112.4229 37.5027)
LZH,Liuzhou Airport,Labu,CN,POINT (109.3985578866662 24.20767915)
MEC,Manta Airport,Manta,EC,POINT (-80.67949990971246 -0.94690845)
DZH,Dazhou Jinya Airport,Dazhou,CN,POINT (107.43698222297508 31.05057705)
EES,Berenice International Airport,Berenice City,EG,POINT (35.45003685693535 23.980303)
KFZ,Kukës International Airport,Kukës,AL,POINT (20.416156526028644 42.0342197)
JTA,Pedro Teixeira Castelo Airport,Tauá,BR,POINT (-40.29597814583012 -5.93260025)
KJB,Uyyalawada Narasimha Reddy Airport,Orvakal,IN,POINT (78.1693148104587 15.715869600000001)
EHU,Ezhou Huahu Airport,Ezhou,CN,POINT (115.0474 30.346)
FZL,Fuzuli International Airport,Fuzuli,AZ,POINT (47.1964348 39.5945705)
KXB,Sangia Nibandera Airport,Kolaka,ID,POINT (121.52424225501159 -4.3356094)
GDR,Angra dos Reis Airport,Angra dos Reis,BR,POINT (-44.307222 -22.975278)
HLJ,Beidahuang General Airport,Zhaodong,CN,POINT (130.27009854 46.7932345403)
HZU,Chengdu Huaizhou Airport,Majialin Village,CN,POINT (104.5295206131 30.67744769548)
MXQ,Lorenzo Airport,Cairu,BR,POINT (-38.91 -13.389444)
AFK,Ampara Kondavattavan Tank Airport,Ampara,LK,POINT (81.62931220557938 7.342169543255904)
JHF,São Paulo Catarina Executive Airport,São Roque,BR,POINT (-47.165658 -23.426886)
BLL,Billund Airport,Billund,DK,POINT (9.160391884322324 55.740736999999996)
JSB,Walfrido Salmito de Almeida Airport,São Benedito,BR,POINT (-40.883333 -4.05)
ATH,Eleftherios Venizelos International Airport,Spata,GR,POINT (23.954624286315532 37.9372535)
UHS,Aleksandrovsk-Sakhalinskiy Airport,Aleksandrovsk-Sakhalinskiy,RU,POINT (142.174682 50.878037)
MEH,Mehamn Airport,Mehamn,NO,POINT (27.8245343 71.0298909)
MEL,Tullamarine Airport,Attwood,AU,POINT (144.83348076679553 -37.667111000000006)
MEM,Memphis International Airport,Southaven,US,POINT (-89.97689466513185 35.04625645)
MBS,MBS International Airport,Freeland,US,POINT (-84.08284956680652 43.535796149999996)
AVP,Wilkes-Barre/Scranton International Airport,Avoca,US,POINT (-75.72257122928625 41.33709205)
DIA,Doha International Airport,Doha,QA,POINT (51.5646 25.2607)
GNJ,Ganja International Airport,Ganja,AZ,POINT (46.31628304227843 40.7370535)
HSF,Suifenhe Dongning Airport,Suifenhe,CN,POINT (130.84445157868504 44.454874849999996)
RDL,Al Bardawil International Airport,El Hassana,EG,POINT (33.1515706592 30.4095794591708)
VCC,New Vacaria Airport,Vacaria,BR,POINT (-51.022778 -28.431944)
MKZ,Malacca International Airport,Batu Berendam,MY,POINT (102.25118690241379 2.2649362999999996)
GDB,Gondia Airport,Gondia,IN,POINT (80.01 21.522)
MLE,Male International Airport,Male,MV,POINT (73.5301041555218 4.1961894)
AQG,Anqing Tianzhushan Airport,Anqing,CN,POINT (117.05617994044115 30.5859116)
YHU,St. Hubert Airport,,CA,POINT (-73.6 45.5)
YIV,Island Lake Airport,,CA,POINT (-94.78333 54.2)
JCS,Aeroporto De Crateus Airport,Crateus,BR,POINT (-40.7045819389 -5.21230869969)
AQI,Qaisumah Airport,Al Qaysumah,SA,POINT (46.1219356 28.3342381)
YGW,Kuujjuarapik Airport,,CA,POINT (-77.75632598579428 55.2824753)
AQJ,King Hussein International Airport,Aqaba,JO,POINT (35.019039998479 29.610142699999997)
MLG,Abdul Rachman Saleh Airport,Singosari,ID,POINT (112.7132740940317 -7.93032505)
LVI,Livingstone Airport,Livingstone,ZM,POINT (25.79571488398148 -17.81843635)
CTV,Catoca Airport,Saurimo,AO,POINT (20.311478 -9.430985)
MDG,Mudanjiang Airport,Xinglong,CN,POINT (129.56714084864257 44.5245786)
JPO,Brigadeiro Firmino Ayres Airport,Patos,BR,POINT (-37.25184761766 -7.037496939556)
JPE,Nagib Demachki Airport,Paragominas,BR,POINT (-47.316389 -3.019722)
JPY,Paraty Airport,Paraty,BR,POINT (-44.720278 -23.224444)
YCM,Niagara District Airport,Niagara-on-the-Lake,CA,POINT (-79.17194175161795 43.192976900000005)
YPR,Digby Island Airport,,CA,POINT (-130.3999939 54.3167)
BDO,Husein Sastranegara Airport,Bandung,ID,POINT (107.57604750542606 -6.8995168499999995)
DSY,Dara Sakor International Airport,Koh Kong,KH,POINT (103.225265056204 10.91482235)
BDQ,Vadodara Airport,Vadodara,IN,POINT (73.22706886887818 22.336816749999997)
EWR,Newark Liberty International Airport,Elizabeth,US,POINT (-74.17725485035348 40.68906405)
IUP,Lorenzo Airport,Apui,BR,POINT (-59.8393706089647 -7.1726927603202)
YSK,Sanikiluaq Airport,,CA,POINT (-79.24933782095911 56.53683365)
YTA,Pembroke And Area Airport,,CA,POINT (-77.24944 45.861668)
YTQ,Tasiujuaq Airport,,CA,POINT (-69.95633 58.6678)
DDD,Dhaalu Airport,Kudahuvadhoo,MV,POINT (72.88611679765515 2.66648215)
YTW,Yutian Wanfang Airport,,CN,POINT (81.79149269333863 36.80990525)
COK,Cochin International Airport,Angamali,IN,POINT (76.39248892735499 10.15448595)
JDE,Jiande Qiandaohu Airport,Jiande,CN,POINT (119.18551273837 29.354412074477)
MFK,Matsu Beigan Airport,Nangan,TW,POINT (119.916664 26.166668)
DBR,Darbhanga Airport,Darbhanga,IN,POINT (85.9118892 26.1967856)
MFR,Rogue Valley International-Medford Airport,Medford,US,POINT (-122.87342921752662 42.3727441)
LPB,El Alto International Airport,La Paz,BO,POINT (-68.19026097558837 -16.512220550000002)
YYU,Kapuskasing Airport,,CA,POINT (-82.46398397530788 49.40840675)
ERH,Moulay Ali Cherif Airport,Errachidia,MA,POINT (-4.401642404012675 31.9476048)
ERI,Erie International Airport,Fairview,US,POINT (-80.17440312485985 42.0847174)
ERL,Eren Hot Airport,Erenhot,CN,POINT (112.09475176884322 43.42349855)
EXT,Exeter International Airport,Topsham,GB,POINT (-3.412883379837215 50.7347944)
NEI,Terney Airport,Terney,RU,POINT (136.590342226 45.0814450773)
LPF,Liupanshui Yuezhao Airport,Liupanshui,CN,POINT (104.97858236756699 26.60868035)
WHB,Eliwana Airport,Eliwana,AU,POINT (116.8863515 -22.4306826)
LPT,Lampang Airport,Lampang,TH,POINT (99.5053516 18.2782787)
ZGI,Gods River Airport,,CA,POINT (-94.166664 54.683334)
YZP,Sandspit Airport,,CA,POINT (-131.8126998451329 53.2532095)
YZT,Port Hardy Airport,,CA,POINT (-127.36977008238144 50.68186165)
ZPB,Sachigo Lake Airport,,CA,POINT (-92.18777514350165 53.88868915)
MBA,Moi International Airport,Mombasa,KE,POINT (39.600720714576624 -4.0265226)
MGZ,Myeik Airport,Myeik,MM,POINT (98.62146561643826 12.4397928)
MHD,Mashhad International Airport,Mashhad,IR,POINT (59.641866810223185 36.23409075)
RNA,Ulawa Airport,,SB,POINT (161.98306 -9.864444)
EYP,El Yopal Airport,Yopal,CO,POINT (-72.38447809054335 5.3201424)
EYW,Key West International Airport,Stock Island,US,POINT (-81.75961603475078 24.5554773)
EZE,Ministro Pistarini Airport,Ezeiza,AR,POINT (-58.54742335052262 -34.81681415)
HCZ,Chenzhou Beihu Airport,Chenzhou,CN,POINT (112.84966005166282 25.75482855)
MLH,EuroAirport Basel-Mulhouse-Freiburg,Hesingue,CH,POINT (7.52434812773247 47.603236949999996)
DGT,Dumaguete Airport,Dumaguete,PH,POINT (123.30198574210306 9.3340538)
FNA,Lungi International Airport,Masoyila,SL,POINT (-13.200255905684298 8.6153394)
MHG,Mannheim Airport,Mannheim,DE,POINT (8.516259421778319 49.474830499999996)
MHQ,Mariehamn Airport,Mariehamn,AX,POINT (19.896907611281204 60.121504650000006)
LDH,Lord Howe Island Airport,Woolgoolga,AU,POINT (159.07601118441585 -31.538403350000003)
LPA,Gran Canaria Airport,Ingenio,ES,POINT (-15.389182071609515 27.92879945)
LPI,Linkoping City Airport,Linkoping,SE,POINT (15.691669911451392 58.4045718)
FNC,Madeira Airport,Machico,PT,POINT (-16.77389415043028 32.69817005)
FND,Funadhoo Airport,Funadhoo,MV,POINT (73.28780102334719 6.1616557499999995)
ADD,Addis Ababa Bole International Airport,Addis Ababa,ET,POINT (38.79727968929066 8.97958075)
MSO,Missoula International Airport,Orchard Homes,US,POINT (-114.08780053891442 46.91686665)
MSP,Minneapolis-St. Paul International Airport,Richfield,US,POINT (-93.2209280537696 44.878019050000006)
MSQ,Minsk National Airport,Smilavichy,BY,POINT (28.03506962645968 53.8899573)
LPK,Lipetsk Airport,Lipetsk,RU,POINT (39.6 52.61667)
YNE,Norway House Airport,,CA,POINT (-97.84823872487667 53.95694255)
LPX,Liepaya Airport,Grobina,LV,POINT (21.1 56.516666)
LPY,Loudes Airport,Saint-Paulien,FR,POINT (3.766667 45.083332)
OCC,Coca Airport,Puerto Francisco de Orellana,EC,POINT (-76.99002032360985 -0.4567311)
ILY,Glenegedale Airport,Isle of Islay,GB,POINT (-6.257452506035049 55.68289935)
IMQ,Maku International Airport,Showt,IR,POINT (44.92203364988445 39.1930169)
ABJ,Felix Houphouet Boigny Airport,Abidjan,CI,POINT (-3.925957338659794 5.264928299999999)
IXI,Lilabari Airport,North Lakhimpur,IN,POINT (94.09734635719008 27.2961368)
LRT,Lann Bihoue Airport,Ploemeur,FR,POINT (-3.436394 47.75374)
IXJ,Satwari Airport,Jammu,IN,POINT (74.83873699435969 32.6883122)
DMM,King Fahd International Airport,Al Awjam,SA,POINT (49.79887844079486 26.467396649999998)
ITO,Hilo International Airport,Hilo,US,POINT (-155.04755391447696 19.718830599999997)
IXA,Agartala Airport,Agartala,IN,POINT (91.24006658412866 23.8882755)
IXB,Bagdogra Airport,Baghdogra,IN,POINT (88.32906870592839 26.6821128)
IXC,Chandigarh Airport,Chandigarh,IN,POINT (76.79098506460022 30.674192249999997)
