category,service,translator_us_citizen,country,uom,src,translation_direction,target,vendor_rate,quantity,subtotal
Translation,Translation (TR),0,NULL,Target Word ,ENGLISH,To,PORTUGUESE,0.225,8730,1964.25
Translation,Translation (TR),0,CROATIA,Source Word ,ENGLISH,To,CROATIAN,0.264,23094,6096.816
Translation,Translation (TR),0,UKRAINE,Target Word ,ENGLISH,To,UKRAINIAN,0.11,8171,898.81
Translation,Translation (TR),0,ROMANIA,Target Word ,ENGLISH,To,UKRAINIAN,0.264,47,12.408
Translation,Translation (TR),0,VIETNAM,Source Word ,ENGLISH,To,VIETNAMESE,0.264,1321,348.744
Translation,Translation (TR),0,AZERBAIJAN,Target Word ,ENGLISH,To,AZERBAIJANI,0.317,815,258.355
Translation,Translation (TR),0,NULL,Source Word ,ENGLISH,To,PORTUGUESE,0.218,1954,425.972
Translation,Translation and Editing (TE),0,DOMINICAN REPUBLIC,Source Word ,SPANISH,To,ENGLISH,0.05,831,41.55
Translation,Translation (TR),1,NULL,Flat Rate,ENGLISH,To,SPANISH,100,1,100
Translation,Translation (TR),1,ROMANIA,Source Word ,ENGLISH,To,ROMANIAN,0.225,1087,244.575
Translation,Translation (TR),1,ROMANIA,Source Word ,ENGLISH,To,ROMANIAN,0.225,13967,3142.575
Translation,Translation (TR),0,MOLDOVA,Target Word ,ENGLISH,To,UKRAINIAN,0.11,112,12.32
Translation,Translation (TR),0,UNITED STATES,Source Word ,UKRAINIAN,To,ENGLISH,0,NULL,0
Translation,Translation (TR),0,TUNISIA,Target Word ,ENGLISH,To,FRENCH,NULL,NULL,0
Translation,Translation (TR),0,LITHUANIA,Source Word ,ENGLISH,To,ESTONIAN,0.16,4842,774.72
Translation,Translation (TR),0,ROMANIA,Target Word ,ENGLISH,To,UKRAINIAN,0.264,1032,272.448
Translation,Translation (TR),0,MOLDOVA,Target Word ,ROMANIAN,To,ENGLISH,0.08,827,66.16
Translation,Translation (TR),0,UKRAINE,Source Word ,UKRAINIAN,To,ENGLISH,0.373,237,88.401
Translation,Translation (TR),0,UNITED STATES,Hour,ENGLISH,To,RUSSIAN,51,5,255
Translation,Translation (TR),0,MOLDOVA,Source Word ,ENGLISH,To,ROMANIAN,0.18,103516,18632.88
Translation,Translation (TR),0,ROMANIA,Source Word ,ENGLISH,To,ROMANIAN,0.264,431,113.784
Translation,Translation (TR),0,"KOREA, SOUTH",Target Word ,KOREAN,To,ENGLISH,0.24,2715,651.6
Translation,Translation (TR),0,NULL,Source Word ,ENGLISH,To,SPANISH,0.235,1362,320.07
Translation,Translation (TR),0,GREECE,Source Word ,ENGLISH,To,GREEK,0.257,8674,2229.218
Translation,Translation (TR),0,UKRAINE,Target Word ,ENGLISH,To,UKRAINIAN,0.15,225,33.75
Translation,Translation (TR),0,UKRAINE,Target Word ,ENGLISH,To,UKRAINIAN,0.15,1251,187.65
Translation,Translation (TR),1,NULL,Target Word ,PORTUGUESE,To,ENGLISH,NULL,NULL,0
Translation,Translation (TR),0,NULL,Source Word ,ENGLISH,To,FRENCH,0.274,34024,9322.576
Translation,Translation (TR),0,DOMINICAN REPUBLIC,Flat Rate,ENGLISH,To,SPANISH,2539.68,1,2539.68
Translation,Translation (TR),0,UKRAINE,Target Word ,ENGLISH,To,UKRAINIAN,0.11,8236,905.96
Translation,Translation (TR),0,MONGOLIA,Source Word ,ENGLISH,To,MONGOLIAN,0.286,24738,7075.068
Translation,Translation (TR),0,LITHUANIA,Source Word ,ENGLISH,To,ROMANIAN,0.256,4842,1239.552
Translation,Translation (TR),0,UKRAINE,Target Word ,ENGLISH,To,UKRAINIAN,0.15,373,55.95
Translation,Translation (TR),0,UKRAINE,Target Word ,ENGLISH,To,UKRAINIAN,0.15,1171,175.65
Translation,Translation (TR),0,UKRAINE,Target Word ,ENGLISH,To,UKRAINIAN,0.11,19416,2135.76
Translation,Translation (TR),0,SENEGAL,Source Word ,ENGLISH,To,FRENCH,0.238,4500,1071
Translation,Translation (TR),0,COLOMBIA,Source Word ,ENGLISH,To,SPANISH,0.189,3445,651.105
Translation,Translation (TR),1,ROMANIA,Page,ENGLISH,To,ROMANIAN,100,1,100
Translation,Translation (TR),0,"KOREA, SOUTH",Source Word ,ENGLISH,To,KOREAN,0.285,938,267.33
Translation,Translation (TR),0,ROMANIA,Target Word ,ENGLISH,To,UKRAINIAN,0.264,16739,4419.096
Translation,Translation (TR),0,NULL,Source Word ,ENGLISH,To,FRENCH,0.238,2577,613.326
Translation,Translation (TR),0,MOLDOVA,Target Word ,ENGLISH,To,UKRAINIAN,0.11,1091,120.01
Translation,Translation and Editing (TE),0,DOMINICAN REPUBLIC,Flat Rate,ENGLISH,To,SPANISH,NULL,NULL,0
Translation,Translation Other,1,UNITED STATES,Flat Rate,ENGLISH,To,ARABIC,240.85,1,240.85
Translation,Translation (TR),0,TURKMENISTAN,Hour,ENGLISH,To,RUSSIAN,20,3,60
Translation,Translation (TR),0,KAZAKHSTAN,Target Word ,KAZAKH,To,ENGLISH,0.306,528,161.568
Translation,Translation (TR),0,DOMINICAN REPUBLIC,Flat Rate,ENGLISH,To,SPANISH,692.28,1,692.28
Translation,Translation (TR),0,BRAZIL,Source Word ,ENGLISH,To,PORTUGUESE,0.218,593,129.274
Translation,Translation (TR),1,NULL,Target Word ,ENGLISH,To,RUSSIAN,NULL,NULL,0
Translation,Translation (TR),0,VIETNAM,Source Word ,ENGLISH,To,VIETNAMESE,0.256,24738,6332.928
Translation,Translation (TR),0,UKRAINE,Target Word ,ENGLISH,To,UKRAINIAN,0.15,3990,598.5
Translation,Translation (TR),0,BRAZIL,Source Word ,ENGLISH,To,PORTUGUESE,0.14,270,37.8
Translation,Translation (TR),0,CROATIA,Target Word ,CROATIAN,To,ENGLISH,0.264,11189,2953.896
Translation,Translation (TR),0,DOMINICAN REPUBLIC,Source Word ,SPANISH,To,ENGLISH,0.08,6880,550.4
Translation,Translation (TR),0,UKRAINE,Target Word ,ENGLISH,To,UKRAINIAN,0.11,3606,396.66
Translation,Translation (TR),0,UNITED STATES,Target Word ,UKRAINIAN,To,ENGLISH,0.307,4000,1228
Translation,Translation (TR),0,TAIWAN,Target Word ,ENGLISH,To,TAIWANESE,0.234,27353,6400.602
Translation,Translation (TR),0,TAIWAN,Source Word ,ENGLISH,To,CHINESE SIMPLIFIED,0.225,7554,1699.65
Translation,Translation (TR),0,BRAZIL,Source Word ,ENGLISH,To,PORTUGUESE,0.225,307,69.075
